Gene_ID,log2FoldChange,pvalue,padj
ENSG00000223972,0.6007396521635568,0.4103880210514009,
ENSG00000227232,0.09899619133514914,0.3946354985514756,
ENSG00000278267,0.2704260414863777,0.7582748505463571,
ENSG00000243485,0.6471985950834416,0.4121529144994425,
ENSG00000284332,0.0,,
ENSG00000237613,0.2261596434255969,0.7790775815009272,
ENSG00000268020,0.0,,
ENSG00000240361,-0.4166666666666667,0.5076848816074249,
ENSG00000186092,0.10375937481971098,0.8998045701147493,
ENSG00000238009,0.03491656446090463,0.905218602378304,
ENSG00000239945,0.0,,
ENSG00000233750,0.6081687946041208,0.4272541756280581,
ENSG00000268903,0.2789587518040779,0.7982768678630104,
ENSG00000269981,0.14719859508344157,0.8007934443184492,
ENSG00000239906,0.04391663383009048,0.9480824536672467,
ENSG00000241860,0.5801614233756007,0.21948274705087487,
ENSG00000222623,-0.11791979160657029,0.8664316033976316,
ENSG00000241599,0.6949875002403854,0.42448746673923105,
ENSG00000279928,0.24224088296737656,0.8095141731563698,
ENSG00000279457,0.1809295556974826,0.4315031942702513,
ENSG00000273874,0.2704260414863777,0.7582748505463571,
ENSG00000228463,0.4646206655673293,0.2766435651237958,
ENSG00000236679,-0.542481250360578,0.5930629638195852,
ENSG00000236601,-0.396240625180289,0.3910022189557704,
ENSG00000237094,0.4100581259459757,0.30995855555618046,
ENSG00000269732,-0.8129072918469558,0.19755632526771555,
ENSG00000284733,0.19795188480863102,0.7727870231898035,
ENSG00000233653,0.06034733303008366,0.9568757708771298,
ENSG00000250575,0.4453901262909774,0.5161117533546619,
ENSG00000278757,-0.11791979160657029,0.8664316033976316,
ENSG00000230021,-0.0768343431369356,0.8379269396795453,
ENSG00000235146,0.0,,
ENSG00000225972,-0.36214086802965895,0.5540072216778822,
ENSG00000225630,-0.18676743134752272,0.6945242585888077,
ENSG00000237973,0.09571942154574842,0.8731198646962531,
ENSG00000278791,0.0,,
ENSG00000229344,-0.5053769819566174,0.35902618619455373,
ENSG00000240409,0.0918934958930766,0.9112331582662205,
ENSG00000248527,-0.20119509823358683,0.7269270755516277,
ENSG00000198744,0.0036302826650214115,0.9939537654833644,
ENSG00000268663,-0.5629072918469558,0.28562519359759786,
ENSG00000284662,0.34754576754498734,0.6428538132264855,
ENSG00000229376,0.07316355849091583,0.9312119751121523,
ENSG00000228327,0.5257225650571957,0.32391025266797063,
ENSG00000223181,-0.5,0.18169011381620936,
ENSG00000229905,0.7783208335737186,0.10490213095499791,
ENSG00000237491,0.4558923367360199,0.14019917857433178,
ENSG00000285268,0.0,,
ENSG00000230092,0.3064213818605106,0.3322009889022718,
ENSG00000177757,-0.547769444149242,0.08257274496825602,
ENSG00000228794,-0.12940286538759427,0.11172988725705342,
ENSG00000225880,0.7280194086485592,0.12767845427388871,
ENSG00000230368,0.4472789306509233,0.10132727310345059,
ENSG00000234711,-0.09039376983470682,0.7812484696938675,
ENSG00000283040,0.0,,
ENSG00000272438,-0.396240625180289,0.3910022189557704,
ENSG00000230699,-0.7641604167868593,0.28214432362033315,
ENSG00000241180,0.0,,
ENSG00000223764,-0.05054077810918711,0.9300134237258773,
ENSG00000187634,-0.6291158238251839,0.5321901574544211,
ENSG00000188976,-0.09617230593189685,0.7311897389002133,
ENSG00000187961,-0.032072572425922985,0.9646899534411157,
ENSG00000187583,-0.7091479170272448,0.21642011319105328,
ENSG00000187642,-0.37226459355116825,0.7010615236589341,
ENSG00000272512,0.011359190319911505,0.9833938459032205,
ENSG00000188290,-1.2589642506032916,0.129930795961179,
ENSG00000187608,-0.319266889675589,0.45172854428186165,
ENSG00000231702,-0.2685052187314573,0.7756192639725092,
ENSG00000224969,0.723308333814104,0.2993693188696224,
ENSG00000188157,-0.41549453694561134,0.00852548004225067,
ENSG00000242590,0.0,,
ENSG00000217801,-0.03167205512835958,0.9740020975232253,
ENSG00000273443,0.577067708633815,0.5322730605511932,
ENSG00000237330,-0.16666666666666669,0.7227877080390916,
ENSG00000131591,-0.030419639147062583,0.9100691266689455,
ENSG00000285812,0.3822798113417689,0.5696648331500633,
ENSG00000223823,-0.006851230274015574,0.9944556936508042,
ENSG00000207730,-0.25,0.3910022189557705,
ENSG00000207607,-0.6666666666666667,0.36726117776813216,
ENSG00000198976,0.5283208335737187,0.42264973081037416,
ENSG00000272141,-0.25,0.3910022189557705,
ENSG00000205231,0.2519208227549201,0.7796026915248985,
ENSG00000162571,-1.292481250360578,0.004631760183171372,
ENSG00000186891,-0.816321606934981,0.5540858870366189,
ENSG00000186827,0.361654166907052,0.5483003053816108,
ENSG00000078808,0.15893728419686148,0.5110594129755524,
ENSG00000176022,0.10472244393799812,0.8249015913613587,
ENSG00000184163,0.4386362836306942,0.6819997583675743,
ENSG00000260179,0.449174027032301,0.40521058867462445,
ENSG00000160087,0.07945614574660276,0.8319076232502959,
ENSG00000230415,0.036642956082875155,0.956310832477537,
ENSG00000162572,-0.03185811790009829,0.9125969269306532,
ENSG00000131584,-0.22392730141476136,0.45154974597523745,
ENSG00000278073,0.41666666666666663,0.37347974698665537,
ENSG00000169972,-0.35458433357823527,0.5193889835850847,
ENSG00000127054,-0.047304134637998096,0.8733705264857989,
ENSG00000283712,0.0,,
ENSG00000240731,0.26352333514334525,0.26327444723086607,
ENSG00000224051,-0.30819037223174295,0.3715177590386415,
ENSG00000169962,0.3000820922405194,0.5240386880507885,
ENSG00000107404,-0.10216059282371592,0.6187592580640136,
ENSG00000284372,0.0,,
ENSG00000162576,-0.010279934814657388,0.9819709674003829,
ENSG00000175756,0.21434739722513818,0.7286025568146909,
ENSG00000223663,0.2704260414863776,0.62381293521931,
ENSG00000221978,0.23369403448599968,0.4612753130680734,
ENSG00000224870,-0.4274677763358019,0.5896689930946122,
ENSG00000242485,-0.3996205144101852,0.4593984792553566,
ENSG00000264293,0.0,,
ENSG00000272455,0.24492776975124642,0.5471882286243493,
ENSG00000235098,0.8903887506175154,0.038263386751140056,
ENSG00000225905,-0.25,0.3910022189557705,
ENSG00000205116,0.9449875002403854,0.030855073682585464,
ENSG00000225285,-0.08048202372184043,0.919180072206316,
ENSG00000179403,0.6760962788827705,0.3494965868470725,
ENSG00000215915,0.50245153065684,0.16534813153941175,
ENSG00000160072,-0.026702407891159297,0.9394102439035039,
ENSG00000284740,-1.1179197916065702,0.18122272982496657,
ENSG00000197785,-0.04832950668371794,0.8987682129559028,
ENSG00000205090,-0.29183857380497313,0.49915990936681,
ENSG00000160075,0.5228921579702615,0.1664619374768,
ENSG00000215014,-0.01037373737017866,0.966259898310903,
ENSG00000274481,-0.25,0.3910022189557705,
ENSG00000228594,-0.6357602578116568,0.08127544202557309,
ENSG00000272106,-0.33492758537774936,0.16000491499332006,
ENSG00000197530,-0.20990759245293145,0.5923587556890008,
ENSG00000189409,-0.18213481758736916,0.8469401867097379,
ENSG00000248333,0.18436383730922756,0.35703468520257,
ENSG00000272004,-0.2295739585136224,0.6457127241696055,
ENSG00000189339,-0.1950979821141754,0.43839890364213085,
ENSG00000269737,0.6450314997285131,0.13848924435482943,
ENSG00000215914,-0.09749375012019268,0.9174073051587858,
ENSG00000008128,-0.10039204221699816,0.6179507275693772,
ENSG00000268575,0.2077697048210112,0.6303740743003517,
ENSG00000227775,0.6450142738981981,0.28740128983097923,
ENSG00000215790,-0.21580717181901754,0.18942338644865306,
ENSG00000008130,-0.081207863864873,0.6584038912082505,
ENSG00000078369,-0.30886252238916434,0.1236788012696887,
ENSG00000231050,-0.9279757738420331,0.34757251523242877,
ENSG00000169885,-0.5185052187314573,0.5982550799279776,
ENSG00000178821,0.017011726398352245,0.975836234481123,
ENSG00000142609,-0.428507160370482,0.17285379498311174,
ENSG00000233542,0.5310865512750382,0.41900882064807105,
ENSG00000187730,-0.7738927034126828,0.16954956167669216,
ENSG00000226969,0.0,,
ENSG00000067606,-0.1944502235783876,0.46698822085401176,
ENSG00000271806,0.013921261672743768,0.9831207351341636,
ENSG00000182873,0.6339222939005706,0.13101697782147972,
ENSG00000162585,0.1941633261478568,0.3437715913840099,
ENSG00000234396,0.0,,
